A.A. Kingston Middle School,,NY
A.C. Crews Middle School,,GA
A.D. Johnston High School,,MI
A.D. Johnston Middle School,,MI
A.I. Root Middle School,,OH
A.R. Johnson Health Science and Engineering Magnet School,,GA
A.W. Coolidge Middle School,,MA
ALPs Charter School,,WI
Abington Heights High School,,PA
Abington Heights Middle School,,PA
Absarokee High School,,MT
Absarokee Middle School,,MT
Academic Magnet High School,,SC
Academy for Health and Medical Science,,NJ
"Academy for Science, Mathematics and Engineering Technologies",,NJ
Academy of Greatness and Excellence,,NJ
Academy of Science and Design,,NH
Academy of the Pacific Rim Charter Public School,,MA
Acton-Boxborough Regional High School,,MA
Adams Junior High School,,TX
Addison Trail High School,,IL
Adlai E. Stevenson High School,,IL
Advanced Technologies Academy,,NV
Akira Toki Middle School,,WI
Al-Ghazaly High School,,NJ
Al-Ghazaly Middle School,,NJ
Alameda Middle School,,ID
Alamo Heights Junior High School,,TX
Albany High School,,CA
Albany Middle School,,CA
Albuquerque Academy,,NM
Albuquerque Area Home Schoolers,,NM
Alexander High School,,OH
Alexander Junior High School,,OH
Alexis I. duPont High School,,DE
Alfred G. Waters Middle School,,DE
Algonquin Regional High School,,MA
Aliso Niguel High School,,CA
All Saints Catholic School,,DE
All Saints Catholic School,,KS
All Saints Catholic School,Antigo,WI
Allendale High School,,MI
Allendale Middle School,,MI
Allentown Central Catholic High School,,PA
Alpena High School,,MI
Alpharetta High School,,GA
Alpine School,,NJ
Alta Sierra Intermediate School,,CA
Altmar-Parish-Williamstown Junior/Senior High School,,NY
Alvirne High School,,NH
Amador Valley High School,,CA
Amana Academy,,GA
Amelia Earhart Middle School,,CA
American High School,,CA
Ames High School,,IA
Ames Middle School,,IA
Amherst-Pelham Regional High School,,MA
Amity Regional High School,,CT
Anderson High School,,TX
Andover High School,,MA
Anser Public Charter School,,ID
Apple Valley High School,,MN
Applied Technology High School,,NJ
Appoquinimink High School,,DE
Arbor Hills Junior High School,,OH
Arcadia High School,,CA
Archbishop Alter High School,,OH
Archbishop Hoban High School,,OH
Archimedean Middle Conservatory,,FL
Archimedean Upper Conservatory,,FL
Archmere Academy,,DE
Arden Middle School,,CA
Ardenwood Elementary School,,CA
Ardsley High School,,NY
Ardsley Middle School,,NY
Arendell Parrott Academy,,NC
Arlington High School,,MA
Arlington High School,,NY
Armstrong Middle School,,MS
Arroyo Seco Junior High School,,CA
Art Freiler School,,CA
Arthur L. Johnson High School,,NJ
Asotin Middle School,,WA
Athens Area High School,,PA
Athens City Middle School,,TN
Athens High School,,WI
Athens High School,Troy,MI
Atholton High School,,MD
Atkins Academic and Technology High School,,NC
AuGres-Sims High School,,MI
Auburn High School,,AL
Auburn Junior High School,,AL
Augusta Area Homeschoolers,,GA
Aurora High School,,OH
Austin Area Homeschoolers,,TX
Avon High School,,CT
Avon Lake High School,,OH
B. Reed Henderson High School,,PA
BASIS Independent Fremont,,CA
BASIS Independent McLean,,VA
BASIS Independent Silicon Valley,,CA
"BASIS Washington, D.C.",,DC
Badger Ridge Middle School / Core Knowledge Charter School,,WI
Bailey APAC Middle School,,MS
Baird Middle School,,CA
Baker Middle School,,MI
Baker Middle School,,OH
Bala Cynwyd Middle School,,PA
Baldwin-Woodville High School,,WI
Ballston Spa High School,,NY
Banks Trail Middle School,,SC
Baraboo High School,,WI
Barclay Elementary/Middle School,,MD
Barker Road Middle School,,NY
Barrington High School,,IL
Barrington High School,,RI
Barrington Middle School,,RI
Baton Rouge Magnet High School,,LA
Battle Ground High School,,WA
Baxter Academy for Technology and Science,,ME
Bay Academy,,NY
Bay City Western High School,,MI
Bay Shore High School,,NY
Bay Shore Middle School,,NY
Bay Trail Middle School,,NY
Bayard Rustin High School,,PA
Bayport-Blue Point High School,,NY
Baytul-Iman Academy,,NJ
Beachwood High School,,OH
Beachwood Middle School,,OH
Bearden Middle School,,TN
Beckendorff Junior High School,,TX
Beckman High School,,CA
Bedford High School,,NH
Bedford Middle School,,CT
Belfast Area High School,,ME
Belfry School,,MT
Belgrade High School,,MT
Belgrade Middle School,,MT
Bell Street Middle School,,SC
Belleville High School,,WI
Belleville Middle School,,WI
Bellevue East High School,,NE
Bellevue High School,,WA
Bellevue Mission Middle School,,NE
Belmont High School,,MA
Belmont Ridge Middle School,,VA
Beloit McNeel Middle School,,WI
Belt High School,,MT
Belt Middle School,,MT
Belvidere North High School,,IL
Ben Lippen High School,,SC
Ben Lippen Middle School,,SC
Benjamin Franklin High School,,LA
Benjamin Franklin Middle School,,IN
Benjamin Franklin Middle School,,NJ
Benjamin Franklin Middle School,,WI
Benzie Central High School,,MI
Bergen County Academies,,NJ
"Bergen County Technical High School, Teterboro Campus",,NJ
Bernardo Heights Middle School,,CA
Berrien Springs High School,,MI
Berrien Springs Middle School,,MI
Bessie Allen Middle School,,WI
Bethany Elementary School,,CA
Bethlehem Central High School,,NY
Big Sandy High School,,MT
Big Sandy Junior High School,,MT
Big Timber Grade School,,MT
Billings Central Catholic High School,,MT
Billings Skyview High School,,MT
Billings West High School,,MT
Bio-Med Science Academy,,OH
Biotechnology High School,,NJ
Birch Wathen Lenox School,,NY
Birchwood High School,,WI
Birchwood Middle School,,RI
Birchwood Middle School,,WI
Birmingham Covington School,,MI
Bishop Brady High School,,NH
Bishop Hendricken High School,,RI
Bishop Hendricken Middle School,,RI
Bishop Kelly High School,,ID
Bishop Ludden Junior/Senior High School,,NY
Bismarck High School,,ND
Bismarck Mandan Area Home Educators,,ND
Black Mountain Middle School,,CA
